chr,coor_s,coor_e,ids,jumps,length,centro,telo,gaps,genes,intra_frac,cpgisl_in,cpgisl_bor,ctcf,repli_in,repli_bor,repli_bor_deriv,repli_deriv,repli_vari,recomb_in,recomb_bor,dnase_in,dnase_bor,DNA_l,LINE_l,LTR_l,SINE_l,Low_complexity_l,Retroposon_l,Satellite_l,Simple_repeat_l,rRNA_l,snRNA_l,scRNA_l,srpRNA_l,tRNA_l,RC_l,DNA_r,LINE_r,LTR_r,SINE_r,Low_complexity_r,Retroposon_r,Satellite_r,Simple_repeat_r,rRNA_r,snRNA_r,scRNA_r,srpRNA_r,tRNA_r,RC_r,L1_s_l,L2_s_l,MIR_s_l,Alu_s_l,Satellite_s_l,L1_s_r,L2_s_r,MIR_s_r,Alu_s_r,Satellite_s_r,used_coor_l_s,used_coor_l_e,used_coor_r_s,used_coor_r_e,CG_frac_l,CG_frac_r,CG_frac_in
1,10000,207666,id1,3,197666,121818793,0,2,6,0.206,3,0,0,23.697,21.098,0.0,31.0,12.717,1.306,1.306,18.837,39.412,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9950,10000,207666,207716,-1.0,0.0,0.444
1,257666,297956,id2,3,40290,121728503,247666,2,0,0.208,0,0,0,29.531,21.098,0.0,13.0,4.458,1.306,1.306,29.449,39.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,257616,257666,297956,298006,-1.0,0.538,0.391
1,347968,535988,id3,1,188020,121490471,337968,2,1,0.229,3,0,0,20.982,21.098,0.0,3.885,1.31,1.306,1.306,31.596,39.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347918,347968,535988,536038,-1.0,1.0,0.43
1,585988,817292,id4,4,231304,121209167,575988,1,2,0.255,3,0,0,20.347,28.0,0.0,43.0,8.846,1.306,1.306,370.261,39.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585938,585988,817292,817342,-1.0,0.412,0.428
1,817367,821400,id5,1,4033,121205059,807367,0,1,0.0,0,0,0,29.0,28.5,1.0,2.0,1.0,1.306,1.306,14.195,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817317,817367,821400,821450,0.392,0.529,0.51
1,823659,867135,id6,2,43476,121159324,813659,0,2,0.0,3,0,0,35.25,29.5,1.0,8.0,1.954,1.306,1.306,34.112,39.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823609,823659,867135,867185,0.549,0.647,0.464
1,867192,872507,id7,1,5315,121153952,857192,0,1,0.097,1,0,0,28.429,28.5,1.0,3.0,0.976,1.306,1.306,28.116,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867142,867192,872507,872557,0.647,0.549,0.404
1,872879,898701,id8,1,25822,121127758,862879,0,1,0.095,0,0,0,24.0,27.5,2.0,7.0,2.496,1.306,1.306,16.286,8.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872829,872879,898701,898751,0.588,0.275,0.441
1,955921,960557,id9,1,4636,121065902,945921,0,1,0.0,1,1,0,56.0,55.5,1.0,2.0,0.632,1.306,1.306,6.825,7.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955871,955921,960557,960607,0.667,0.745,0.615
1,1444514,1448930,id11,1,4416,120577529,1434514,0,0,1.0,0,0,0,77.6,77.5,0.0,1.0,0.548,1.116,1.116,73.505,86.855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1444464,1444514,1448930,1448980,0.627,0.412,0.53
1,1464079,1496342,id12,1,32263,120530117,1454079,0,2,1.0,4,0,0,75.5,76.5,0.0,3.0,0.663,1.116,1.116,41.249,39.412,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1464029,1464079,1496342,1496392,0.451,0.667,0.575
1,1496432,1502033,id13,1,5601,120524426,1486432,0,1,1.0,0,0,0,76.333,76.0,0.0,1.0,0.516,1.116,1.116,6.423,39.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1496382,1496432,1502033,1502083,0.765,0.373,0.528
1,1504522,1534825,id14,1,30303,120491634,1494522,0,2,1.0,7,0,0,78.774,76.5,1.0,5.0,1.606,1.116,1.116,66.531,39.412,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1504472,1504522,1534825,1534875,0.51,0.745,0.586
1,1632457,1665030,id15,1,32573,120361429,1622457,0,3,1.0,5,1,0,80.222,81.0,0.0,2.0,0.751,1.116,1.116,77.757,39.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632407,1632457,1665030,1665080,0.706,0.725,0.533
1,1666823,1677750,id16,1,10927,120348709,1656823,0,1,1.0,2,0,0,77.917,79.0,0.0,3.0,1.165,1.116,1.116,71.03,36.81,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1666773,1666823,1677750,1677800,0.686,0.431,0.531
1,1685863,1699583,id17,1,13720,120326876,1675863,0,1,1.0,1,0,0,75.533,75.5,1.0,4.0,1.246,1.116,1.116,48.29,39.412,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1685813,1685863,1699583,1699633,0.412,0.725,0.55
1,1699616,1730936,id18,1,31320,120295523,1689616,0,3,1.0,4,0,0,70.5,71.0,1.0,11.0,3.436,1.116,1.116,55.295,39.412,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1699566,1699616,1730936,1730986,0.608,0.725,0.535
1,1733195,1740585,id19,1,7390,120285874,1723195,0,1,1.0,1,0,0,70.556,71.5,1.0,5.0,1.81,1.116,1.116,99.908,39.412,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1733145,1733195,1740585,1740635,0.49,0.49,0.533
1,1740642,1752193,id20,1,11551,120274266,1730642,0,2,1.0,1,0,0,73.167,73.667,1.0,2.0,0.577,1.116,1.116,52.308,39.412,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1740592,1740642,1752193,1752243,0.451,0.294,0.557
1,2548425,2550688,id21,1,2263,119475771,2538425,0,1,1.0,0,0,0,38.333,38.5,1.0,1.0,0.577,1.306,1.306,22.96,39.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2548375,2548425,2550688,2550738,0.765,0.686,0.603
1,2551369,2554047,id22,1,2678,119472412,2541369,0,1,1.0,0,0,0,39.5,39.0,0.0,1.0,0.707,1.306,1.306,55.021,39.412,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2551319,2551369,2554047,2554097,0.49,0.725,0.637
1,2567635,2570293,id23,1,2658,119456166,2557635,0,1,1.0,0,0,0,42.0,41.0,1.0,2.0,1.0,1.306,1.306,32.304,138.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2567585,2567635,2570293,2570343,0.706,0.431,0.634
1,2576603,2578586,id24,1,1983,119447873,2566603,0,1,1.0,0,0,0,39.667,40.0,0.0,2.0,1.155,1.306,1.306,7.84,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2576553,2576603,2578586,2578636,0.647,0.627,0.598
