chr,coor_s,coor_e,ids,length,centro,telo,gaps,genes,intra_frac,cpgisl_in,cpgisl_bor,ctcf,repli_in,repli_bor,repli_bor_deriv,repli_deriv,repli_vari,recomb_in,recomb_bor,dnase_in,dnase_bor,DNA_l,LINE_l,LTR_l,SINE_l,Low_complexity_l,Retroposon_l,Satellite_l,Simple_repeat_l,rRNA_l,snRNA_l,scRNA_l,srpRNA_l,tRNA_l,RC_l,DNA_r,LINE_r,LTR_r,SINE_r,Low_complexity_r,Retroposon_r,Satellite_r,Simple_repeat_r,rRNA_r,snRNA_r,scRNA_r,srpRNA_r,tRNA_r,RC_r,L1_s_l,L2_s_l,MIR_s_l,Alu_s_l,Satellite_s_l,L1_s_r,L2_s_r,MIR_s_r,Alu_s_r,Satellite_s_r,used_coor_l_s,used_coor_l_e,used_coor_r_s,used_coor_r_e,CG_frac_l,CG_frac_r,CG_frac_in
1,703976,747766,id1897,43790,121278693,693976,0,1,1.0,0,0,0,15.756,16.5,21.0,9.0,3.192,1.323,1.323,31.478,38.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,703926,703976,747766,747816,0.32,0.36,0.44133363781685314
1,722790,729143,id1553,6353,121297316,712790,0,1,0.0,0,0,0,18.286,19.0,19.0,2.0,0.756,1.323,1.323,31.981,38.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722740,722790,729143,729193,0.62,0.64,0.6101054619864631
1,852523,854296,id475,1773,121172163,842523,0,0,1.0,1,0,0,35.333,35.5,36.0,1.0,0.577,1.323,1.323,28.988,17.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852473,852523,854296,854346,0.24,0.36,0.45910885504794136
1,1937388,1938543,id2764,1155,120087916,1927388,0,1,0.6,0,0,0,71.0,71.0,71.0,3.294,1.137,1.116,1.116,15.282,15.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1937338,1937388,1938543,1938593,0.58,0.6,0.5255411255411255
1,2280661,2550888,id4931,270227,119475571,2270661,0,9,0.5,43,1,0,30.491,31.5,39.0,17.0,4.827,1.323,1.323,38.729,89.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2280611,2280661,2550888,2550938,0.64,0.7,0.6090879149751875
1,3314894,3332012,id6068,17118,118694447,3304894,0,1,1.0,1,0,0,4.056,4.0,4.0,1.0,0.236,1.323,1.323,55.48,5.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3314844,3314894,3332012,3332062,0.42,0.68,0.5656618763874285
1,4120130,4121548,id5743,1418,117904911,4110130,0,0,1.0,0,0,0,5.0,5.0,5.0,3.294,1.137,2.507,2.507,6.024,5.763,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4120080,4120130,4121548,4121598,0.58,0.48,0.5105782792665726
1,4765629,4767419,id4304,1790,117259040,4755629,0,1,1.0,0,0,0,2.0,2.0,2.0,3.294,1.137,2.507,2.507,33.9,38.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4765579,4765629,4767419,4767469,0.36,0.36,0.4245810055865922
1,5171366,5173344,id886,1978,116853115,5161366,0,0,0.0,0,0,0,3.0,3.0,3.0,3.294,1.137,2.28,2.28,7.69,38.134,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5171316,5171366,5173344,5173394,0.48,0.6,0.46814964610717896
1,5785833,5788585,id679,2752,116237874,5775833,0,0,0.0,0,0,0,3.0,3.0,3.0,3.294,1.137,2.28,2.28,8.908,8.125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5785783,5785833,5788585,5788635,0.26,0.32,0.5007267441860465
