chr,coor_s,coor_e,ids,jumps,length,centro,telo,gaps,genes,intra_frac,cpgisl_in,cpgisl_bor,ctcf,repli_in,repli_bor,repli_bor_deriv,repli_deriv,repli_vari,recomb_in,recomb_bor,dnase_in,dnase_bor,DNA_l,LINE_l,LTR_l,SINE_l,Low_complexity_l,Retroposon_l,Satellite_l,Simple_repeat_l,rRNA_l,snRNA_l,scRNA_l,srpRNA_l,tRNA_l,RC_l,DNA_r,LINE_r,LTR_r,SINE_r,Low_complexity_r,Retroposon_r,Satellite_r,Simple_repeat_r,rRNA_r,snRNA_r,scRNA_r,srpRNA_r,tRNA_r,RC_r,L1_s_l,L2_s_l,MIR_s_l,Alu_s_l,Satellite_s_l,L1_s_r,L2_s_r,MIR_s_r,Alu_s_r,Satellite_s_r,used_coor_l_s,used_coor_l_e,used_coor_r_s,used_coor_r_e,CG_frac_l,CG_frac_r,CG_frac_in
1,641816,644944,id207,1,3128,121381515,631816,0,0,0.0,0,0,0,21.0,21.0,1.0,2.0,0.816,1.382,1.382,776.251,1222.915,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,641766,641816,644944,644994,0.392,0.353,0.417
1,1044148,1062001,id230,4,17853,120964458,1034148,0,2,1.0,8,2,0,66.895,66.5,0.0,2.0,0.459,1.382,1.382,49.351,130.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1044098,1044148,1062001,1062051,0.725,0.686,0.64
1,1289494,1292292,id513,2,2798,120734167,1279494,0,1,1.0,1,4,0,72.0,72.0,1.0,2.0,0.816,1.116,1.116,51.936,30.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1289444,1289494,1292292,1292342,0.706,0.667,0.674
1,1579799,1584825,id183,1,5026,120441634,1569799,0,0,1.0,0,0,0,74.333,75.0,2.0,2.0,0.816,1.116,1.116,87.891,117.475,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1579749,1579799,1584825,1584875,0.588,0.569,0.5
1,1693908,1712221,id49,1,18313,120314238,1683908,0,2,1.0,3,2,0,74.4,73.5,1.0,6.0,2.28,1.116,1.116,87.575,43.16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1693858,1693908,1712221,1712271,0.608,0.745,0.591
1,1826923,1828415,id173,1,1492,120198044,1816923,0,1,0.0,0,0,0,73.667,73.5,1.0,1.0,0.577,1.116,1.116,13.005,39.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1826873,1826923,1828415,1828465,0.353,0.235,0.435
1,1836076,1837373,id272,1,1297,120189086,1826076,0,1,1.0,0,0,0,74.0,73.5,2.0,2.0,1.0,1.116,1.116,72.32,130.44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1836026,1836076,1837373,1837423,0.451,0.588,0.432
1,2119104,2123341,id265,1,4237,119903118,2109104,0,1,0.05,1,2,0,34.833,34.0,1.0,3.0,1.169,1.382,1.382,13.418,8.755,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2119054,2119104,2123341,2123391,0.275,0.588,0.52
1,3126076,3357380,id4,3,231304,118669079,3116076,0,1,1.0,16,0,0,2.635,3.667,0.0,4.0,1.246,1.382,1.382,20.557,27.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3126026,3126076,3357380,3357430,0.471,0.627,0.569
1,3282289,3284303,id144,1,2014,118742156,3272289,0,1,1.0,0,0,0,2.333,2.5,0.0,1.0,0.577,1.382,1.382,5.78,6.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3282239,3282289,3284303,3284353,0.706,0.314,0.624
1,3678487,3680868,id539,2,2381,118345591,3668487,0,1,0.0,0,0,0,19.0,19.0,0.0,3.194,1.116,1.382,1.382,62.65,128.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3678437,3678487,3680868,3680918,0.725,0.51,0.572
1,3879075,3880143,id447,1,1068,118146316,3869075,0,1,0.956,0,0,0,17.333,17.333,1.0,1.0,0.577,1.382,1.382,53.398,75.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3879025,3879075,3880143,3880193,0.353,0.627,0.473
1,3908688,3909885,id174,1,1197,118116574,3898688,0,1,1.0,0,0,2,18.5,18.5,1.0,1.0,0.707,1.382,1.382,191.643,437.37,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3908638,3908688,3909885,3909935,0.353,0.529,0.527
1,3967464,3969869,id250,1,2405,118056590,3957464,0,0,1.0,0,0,0,17.207,17.228,0.0,3.194,1.116,1.382,1.382,31.767,39.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3967414,3967464,3969869,3969919,0.549,0.392,0.461
1,4769370,4771050,id391,1,1680,117255409,4759370,0,1,0.0,0,0,0,2.0,2.0,0.0,3.194,1.116,2.507,2.507,94.155,144.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4769320,4769370,4771050,4771100,0.549,0.529,0.588
1,5208356,5209811,id403,1,1455,116816648,5198356,0,0,0.914,0,0,0,5.0,5.0,0.0,3.194,1.116,2.28,2.28,19.97,29.28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5208306,5208356,5209811,5209861,0.294,0.333,0.315
1,5373802,5525251,id320,3,151449,116501208,5363802,0,0,0.0,0,0,0,1.459,1.5,1.0,1.0,0.501,2.28,2.28,13.557,22.945,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5373752,5373802,5525251,5525301,0.373,0.529,0.492
1,5692805,5703645,id228,1,10840,116322814,5682805,0,0,0.0,0,0,0,3.417,3.5,1.0,1.0,0.515,2.28,2.28,25.564,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5692755,5692805,5703645,5703695,0.588,0.608,0.443
