chr,coor_s,coor_e,ids,jumps,length,gaps,genes,cpgisl_in,cpgisl_bor,repli_in,repli_bor,repli_bor_deriv,repli_deriv,recomb_in,recomb_bor,dnase_in,dnase_bor,DNA_l,LINE_l,LTR_l,SINE_l,Low_complexity_l,Retroposon_l,Satellite_l,Simple_repeat_l,rRNA_l,snRNA_l,scRNA_l,srpRNA_l,tRNA_l,RC_l,DNA_r,LINE_r,LTR_r,SINE_r,Low_complexity_r,Retroposon_r,Satellite_r,Simple_repeat_r,rRNA_r,snRNA_r,scRNA_r,srpRNA_r,tRNA_r,RC_r,L1_s_l,L2_s_l,MIR_s_l,Alu_s_l,Satellite_s_l,L1_s_r,L2_s_r,MIR_s_r,Alu_s_r,Satellite_s_r,component_size,intra_degree,iner_degree,self_loops,edges_double,edges_tandem,edges_ident_mean
1,10000,207666,id1,2,197666,2,6,3,0,23.697,21.098,0.0,31.0,1.306,1.306,18.837,39.412,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325,0,52,1,37,3,0.966
1,257666,297956,id2,3,40290,2,0,0,0,29.531,21.098,0.0,13.0,1.306,1.306,29.449,39.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1325,30,0,0,12,3,0.971
1,347968,535988,id3,1,188020,2,1,3,0,20.982,21.098,0.0,3.885,1.306,1.306,31.596,39.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325,53,0,0,40,3,0.965
1,585988,817292,id4,5,231304,1,2,3,0,20.347,28.0,0.0,43.0,1.306,1.306,370.261,39.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325,45,0,2,76,3,0.968
1,817367,821400,id5,1,4033,0,1,0,0,29.0,28.5,1.0,2.0,1.306,1.306,14.195,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.944
1,823659,867135,id6,2,43476,0,2,3,0,35.25,29.5,1.0,8.0,1.306,1.306,34.112,39.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325,0,3,0,0,0,0.986
1,867192,872507,id7,1,5315,0,1,1,0,28.429,28.5,1.0,3.0,1.306,1.306,28.116,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325,29,0,0,2,0,0.954
1,872879,898701,id8,1,25822,0,1,0,0,24.0,27.5,2.0,7.0,1.306,1.306,16.286,8.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325,1,19,0,1,0,0.932
1,955921,960557,id9,1,4636,0,1,1,1,56.0,55.5,1.0,2.0,1.306,1.306,6.825,7.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325,2,0,0,0,0,0.917
1,1444514,1448930,id11,1,4416,0,0,0,0,77.6,77.5,0.0,1.0,1.116,1.116,73.505,86.855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0.951
