chromosome_name,start,end,length_0,length_1,jumps,gaps,genes,cpgisl_in,cpgisl_bor,repli_in,repli_bor,repli_bor_deriv,repli_deriv,recomb_in,recomb_bor,dnase_in,dnase_bor,DNA,LINE,LTR,SINE,Low_complexity,Retroposon,Satellite,Simple_repeat,rRNA,snRNA,scRNA,srpRNA,tRNA,RC,L1_s,L2_s,MIR_s,Alu_s,Satellite_s,component_size,intra_degree,iner_degree,self_loops,edges_double,edges_tandem,edges_ident_mean_0,edges_ident_mean_1,CG_frac_0,CG_frac_1,CG_frac_in_0,CG_frac_in_1
1.0,187946361.0,188946361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,186946360.0,187946360.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,6.0,0.0,0.0,36.0,78.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0
1.0,27010028.0,28010028.0,3.0,1.0,5.0,0.0,4.0,0.0,0.0,230.0,231.0,4.0,11.0,0.0,0.0,151.0,64.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,35.0,20.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,32010033.0,33010033.0,3.0,1.0,4.0,0.0,4.0,0.0,0.0,284.0,284.0,4.0,6.0,0.0,0.0,308.0,239.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,73.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,247946421.0,248946421.0,4.0,9.0,15.0,1.0,14.0,0.0,0.0,147.0,148.0,10.0,36.0,13.0,13.0,421.0,386.0,0.0,25.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,2.0,0.0,1355.0,27.0,13.0,0.0,4.0,14.0,9.0,4.0,11.0,2.0,11.0,2.0
1.0,28010029.0,29010029.0,6.0,0.0,7.0,0.0,5.0,0.0,0.0,462.0,462.0,6.0,9.0,0.0,0.0,480.0,511.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,13.0,2.0,5.0,0.0,0.0,2.0,1.0,5.0,2.0,4.0,1.0,5.0
1.0,60699939.0,61699939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,58010059.0,59010059.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,16.0,16.0,0.0,6.0,3.0,3.0,43.0,78.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1330.0,35.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0
1.0,90699969.0,91699969.0,2.0,1.0,4.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,9.0,3.0,3.0,44.0,83.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0
1.0,120699999.0,121699999.0,0.0,9.0,12.0,0.0,16.0,18.0,0.0,111.0,124.0,0.0,61.0,9.0,9.0,276.0,351.0,0.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2669.0,55.0,19.0,4.0,66.0,1.0,1.0,8.0,3.0,6.0,8.0,1.0
1.0,59010060.0,60010060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,91699970.0,92699970.0,3.0,0.0,6.0,0.0,3.0,0.0,0.0,55.0,55.0,2.0,7.0,0.0,0.0,46.0,284.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,16.0,1.0,10.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,3.0,0.0
1.0,116699995.0,117699995.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,42.0,43.0,2.0,4.0,2.0,2.0,33.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0
1.0,86699965.0,87699965.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,18.0,17.0,0.0,10.0,0.0,0.0,115.0,84.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3975.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0
1.0,85699964.0,86699964.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,5.0,5.0,0.0,6.0,0.0,0.0,57.0,78.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0
1.0,149100025.0,150100025.0,0.0,3.0,8.0,0.0,16.0,30.0,0.0,33.0,57.0,3.0,42.0,3.0,3.0,99.0,117.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3975.0,30.0,24.0,9.0,123.0,5.0,0.0,3.0,2.0,1.0,2.0,1.0
1.0,22010023.0,23010023.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,62.0,63.0,1.0,2.0,1.0,1.0,30.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1.0,154100030.0,155100030.0,3.0,2.0,5.0,0.0,4.0,0.0,1.0,17.0,17.0,3.0,13.0,0.0,0.0,142.0,202.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,69.0,10.0,18.0,0.0,0.0,2.0,3.0,2.0,2.0,3.0,0.0,5.0
1.0,150100026.0,151100026.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,4.0,4.0,1.0,4.0,2.0,2.0,53.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,11.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,23010024.0,24010024.0,5.0,1.0,7.0,0.0,5.0,1.0,0.0,442.0,442.0,2.0,14.0,6.0,6.0,49.0,133.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,18.0,5.0,4.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,4.0,2.0
1.0,179100055.0,180100055.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,4.0,0.0,0.0,128.0,78.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1327.0,0.0,22.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0
1.0,53010054.0,54010054.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,16.0,1.0,1.0,2.0,2.0,6.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1.0,180100056.0,181100056.0,5.0,1.0,8.0,0.0,4.0,0.0,0.0,67.0,67.0,1.0,12.0,0.0,0.0,322.0,297.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,17.0,1.0,9.0,0.0,0.0,4.0,4.0,2.0,1.0,5.0,0.0,6.0
1.0,184100060.0,185100060.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,43.0,43.0,2.0,4.0,2.0,2.0,64.0,78.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0
1.0,185100061.0,186100061.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,80.0,80.0,2.0,4.0,2.0,2.0,33.0,78.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0
1.0,214946388.0,215946388.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,3.0,2.0,2.0,10.0,44.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0
1.0,208946382.0,209946382.0,3.0,0.0,5.0,0.0,1.0,0.0,1.0,85.0,85.0,1.0,5.0,1.0,1.0,222.0,143.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,3.0
1.0,77699956.0,78699956.0,3.0,0.0,4.0,0.0,3.0,1.0,0.0,100.0,99.0,4.0,5.0,0.0,0.0,49.0,81.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0
1.0,107699986.0,108699986.0,0.0,3.0,4.0,0.0,2.0,2.0,0.0,13.0,12.0,4.0,12.0,0.0,0.0,117.0,83.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,4.0,2.0,0.0,0.0,4.0,0.0,3.0,2.0,1.0,3.0,0.0
1.0,243946417.0,244946417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,216946390.0,217946390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,202946376.0,203946376.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,20.0,21.0,0.0,1.0,2.0,2.0,57.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1.0,203946377.0,204946377.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,1.0,2.0,2.0,29.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1.0,238946412.0,239946412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,9010010.0,10010010.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,74.0,74.0,1.0,3.0,1.0,1.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1.0,14010015.0,15010015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,44010045.0,45010045.0,2.0,1.0,5.0,0.0,2.0,1.0,0.0,178.0,178.0,3.0,4.0,2.0,2.0,164.0,237.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,27.0,1.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,2.0
1.0,10010011.0,11010011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,71699950.0,72699950.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,4.0,0.0,0.0,145.0,78.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0
