chr	coor_s	coor_e	ids1	chr2	coor_s2	coor_e2	ids2	identity
4	68832979	68834991	id4842	4	69435757	69451787	id4858	0.914817
13	91923729	91926381	id1819	15	23123714	23226874	id2089	0.925926
1	175044336	175045848	id420	18	60009690	60011289	id3063	0.937831
22	10924572	10966724	id4142	22	12489121	12641730	id4152	0.955024
1	210160728	210162967	id492	4	68060609	68062852	id4837	0.943396
20	64125251	64126555	id4018	20	64126573	64127884	id4019	0.946319
12	17228322	17229580	id1372	12	17236752	17238395	id1373	0.939539
12	21930218	21931396	id1382	14	26669912	26671084	id1888	0.94953
5	43206652	43208262	id5138	6	70607758	70609427	id5593	0.915609
1	222468106	222520800	id507	5	181272739	181478259	id5414	0.974018
10	77783796	77785340	id868	5	140589120	140590374	id5300	0.934519
16	5077669	5166207	id2376	8	12003311	12234345	id6333	0.943995
20	3516738	3518277	id3888	3	171449004	171450541	id4672	0.996096
19	13702320	13704566	id3137	6	43579898	43581911	id5545	0.979531
2	11257612	11259744	id3473	3	88126131	88128311	id4512	0.935606
16	20411067	20501378	id2410	16	20522345	20607534	id2412	0.980385
3	18074245	18075305	id4419	3	18078135	18079225	id4420	0.949953
11	60000	196824	id971	19	60000	259397	id3099	0.997329
2	74306657	74308051	id3551	2	189311190	189312586	id3773	0.901961
22	22664938	22668785	id4215	22	22732715	22761861	id4219	0.90537
12	56663351	56664498	id1480	2	25822284	25824089	id3485	0.949824
1	242772569	242775323	id551	6	27779772	27781157	id5473	0.902315
1	155148533	155150293	id356	5	116217192	116218405	id5264	0.91065
7	88639006	88640567	id6123	9	133019130	133021178	id6768	0.902216
14	105911365	105930024	id2025	15	20999983	21193490	id2072	0.946176
3	148165502	148167361	id4633	5	80358363	80360457	id5212	0.911612
22	11428056	11497337	id4146	22	12776204	12818137	id4155	0.943211
14	19939023	19987693	id1864	21	13429266	13986920	id4060	0.954146
7	23678728	23680172	id5816	7	24430901	24433024	id5818	0.945109
15	89135084	89136598	id2314	22	26560427	26561624	id4282	0.920962
12	18692750	18694334	id1376	3	68635684	68637271	id4477	0.970607
12	27262833	27270133	id1393	9	64315162	64998121	id6629	0.95503
1	119836179	119862825	id287	1	146905969	147057418	id320	0.90205
10	29575175	29576570	id689	15	25269652	25271058	id2105	0.909677
14	105945124	105973787	id2026	15	20999983	21193490	id2072	0.962468
11	56655293	56659702	id1111	11	102501928	102506659	id1213	0.920537
12	27262833	27270133	id1393	22	10510000	10698837	id4138	0.947126
4	189875037	189975781	id5042	9	40932893	41225986	id6607	0.947033
8	142832481	142834372	id6508	8	142836790	142838561	id6509	0.954674
13	67902173	67916410	id1795	4	3881337	4240270	id4771	0.918697
1	96446864	96448625	id241	6	73517514	73520059	id5600	0.973791
17	17001982	17017820	id2655	17	20562527	20618710	id2674	0.953735
16	10033	19533	id2347	2	113410324	113602734	id3662	0.985471
10	37254139	37259236	id734	9	39588991	40873597	id6605	0.901354
13	24395722	24418824	id1675	13	24932338	24990630	id1687	0.95
6	46830184	46860126	id5549	9	42389578	43199905	id6610	0.949437
12	27262833	27270133	id1393	21	8522360	8706715	id4042	0.947773
16	72728567	72729963	id2559	2	181961142	181962525	id3765	0.900947
15	72617667	72671373	id2245	15	74051745	74118012	id2248	0.980083
10	72917308	72918632	id862	8	61202248	61203556	id6404	0.932974
17	31256172	31268283	id2757	2	131172121	131401549	id3684	0.92487
10	53988717	53990113	id826	10	79910168	79911568	id873	0.930216
13	40844908	40864074	id1734	21	10521101	10616660	id4054	0.917584
4	34708900	34710758	id4802	4	34798047	34799862	id4803	0.916104
22	23929519	23932056	id4248	4	39121008	39122195	id4807	0.925021
16	55851427	55871007	id2533	22	23358158	23378265	id4229	0.91909
17	26716619	26720420	id2705	2	90205572	90387579	id3589	0.969154
22	42446192	42450718	id4333	22	42523089	42528444	id4336	0.931451
12	54230945	54233003	id1471	22	17763709	17765328	id4175	0.958493
21	23390260	23391294	id4076	4	105484614	105486387	id4925	0.918605
5	14651628	14653390	id5086	7	22489733	22541005	id5810	0.979452
1	210265397	210267291	id493	13	50171995	50173621	id1760	0.936
2	106697030	106698742	id3628	6	73517514	73520059	id5600	0.970024
2	108715217	108771738	id3637	2	109731396	110101714	id3641	0.975881
15	49472100	49490297	id2201	9	62249738	62748832	id6621	0.967146
10	38595718	38597408	id756	16	31949832	32481700	id2459	0.942399
8	49739195	49741372	id6388	9	78328977	78330093	id6650	0.915695
10	19489090	19490212	id631	2	97827151	97828358	id3612	0.910531
6	151034238	151049788	id5717	9	39588991	40873597	id6605	0.946076
1	16599169	16617121	id57	1	143720132	144550481	id311	0.923478
15	24157282	24250757	id2099	15	24496953	24578602	id2102	0.952124
17	3050860	3082008	id2617	17	3221835	3253425	id2620	0.983792
6	23852787	23856837	id5461	9	28146560	28150857	id6558	0.956242
1	16599169	16617121	id57	1	148436939	149366538	id332	0.925042
17	41421342	41423038	id2812	17	41438068	41439464	id2813	0.92092
13	41421396	41442550	id1738	13	67902173	67916410	id1795	0.929873
12	16990646	16992213	id1371	9	133019130	133021178	id6768	0.927157
2	63751355	63752594	id3524	2	201063020	201064765	id3788	0.903595
16	33770611	33788513	id2469	2	90205572	90387579	id3589	0.932349
16	47564974	47566885	id2518	7	104667731	104671583	id6171	0.925654
12	4097369	4099769	id1303	3	137880219	137882480	id4619	0.920125
3	32620741	32621859	id4435	4	82401415	82402609	id4890	0.907623
10	27246496	27248297	id667	17	68122255	68160553	id2946	0.921492
11	110787689	110789058	id1222	6	5608525	5610274	id5438	0.915482
14	27746958	27861171	id1890	9	39588991	40873597	id6605	0.963863
21	26233486	26235886	id4081	6	113860742	113863161	id5657	0.959448
17	49223377	49224997	id2870	6	110645813	110647377	id5644	0.904393
4	164259595	164279667	id5001	8	60000	220540	id6301	0.971566
1	231311643	231312756	id534	3	160020310	160021463	id4657	0.920792
3	90197186	90262799	id4516	3	93869115	93932902	id4519	0.952471
3	8681885	8694004	id4377	9	90741329	90763175	id6680	0.948794
3	166860661	166862134	id4666	5	36182558	36184030	id5126	0.947583
14	21750210	21751639	id1881	3	185417402	185418835	id4704	0.911641
21	32498174	32511337	id4094	4	9322916	9800170	id4778	0.930357
13	63737496	63758888	id1788	13	63780492	63844263	id1790	0.985667
12	63002801	63005083	id1493	15	59206326	59208508	id2220	0.921311
1	178006141	178008151	id423	4	97914475	97917421	id4908	0.934985
1	248920160	248946406	id579	21	46672945	46699983	id4137	0.98649
16	70163056	70203688	id2550	16	74374671	74430284	id2562	0.990523
5	140808360	140809511	id5303	5	140828141	140830419	id5304	0.900087
10	27312565	27316836	id671	9	64315162	64998121	id6629	0.9058
11	71584665	71609025	id1158	3	75559999	75708765	id4490	0.933104
12	106172214	106176046	id1556	14	91966003	91969895	id1993	0.925434
16	27133194	27135251	id2427	2	106697030	106698742	id3628	0.907738
8	33968693	33969947	id6365	9	94037963	94039222	id6700	0.922487
1	125173583	125184587	id307	1	143184587	143541167	id308	0.913139
2	233585530	233594109	id3851	2	233647926	233657233	id3852	0.920557
11	18261884	18263506	id1027	7	133168001	133170601	id6212	0.962477
16	23501557	23503728	id2422	16	34339329	34429997	id2480	0.924327
13	58524498	58532305	id1781	18	22415109	22418832	id3021	0.919115
1	25362422	25425328	id86	3	169709281	169710580	id4669	0.954114
1	196711434	196715379	id451	1	196882768	196886304	id457	0.922055
13	89832822	89834065	id1813	4	99989949	99991490	id4914	0.907591
17	14019962	14030804	id2637	17	20562527	20618710	id2674	0.938335
2	218101467	218102607	id3820	8	60372302	60373437	id6403	0.953304
15	77278454	77279850	id2271	17	42752721	42754296	id2823	0.908326
10	14973924	14977024	id616	4	9322916	9800170	id4778	0.911362
12	9027188	9029153	id1335	2	201063020	201064765	id3788	0.917778
6	116435585	116438162	id5661	9	68610229	68613098	id6635	0.938576
11	13561020	13563824	id1011	11	13596686	13599393	id1012	0.917989
5	37440063	37470195	id5131	5	71015224	71450397	id5189	0.957725
4	80161047	80162096	id4883	8	80558790	80559841	id6428	0.923375
14	92763803	92769806	id1995	14	92774401	92779719	id1996	0.950631
22	22620608	22655111	id4214	22	24236854	24268803	id4252	0.918327
11	114407443	114408909	id1234	2	80161339	80162809	id3558	0.979508
11	86832179	86833460	id1184	13	41442562	41456435	id1739	0.909304
13	19024034	19036537	id1628	17	27014315	27056856	id2710	0.923057
1	200911709	200915736	id463	3	112183369	112186000	id4553	0.994681
16	75656221	75657429	id2571	22	17419415	17420675	id4174	0.918298
9	38241234	38244961	id6602	9	120494758	120497454	id6752	0.980591
16	34626883	34659165	id2489	2	131791143	132220279	id3687	0.945972
3	15122608	15146427	id4414	8	12003311	12234345	id6333	0.946592
19	13702320	13704566	id3137	9	112513450	112515915	id6741	0.991727
19	44453410	44473355	id3321	20	30471769	30595084	id3945	0.92262
15	24373593	24495017	id2101	15	24496953	24578602	id2102	0.953129
4	67368952	67370566	id4834	4	79764100	79765714	id4880	0.954037
17	37143240	37144370	id2794	2	218200329	218201856	id3821	0.91119
10	49771065	49774433	id818	8	53536360	53541568	id6391	0.919816
12	55663857	55665199	id1475	19	37792670	37794065	id3281	0.919103
1	207043850	207045219	id478	9	6291205	6292572	id6533	0.970007
10	63153508	63155026	id850	18	35841633	35843435	id3042	0.93159
2	71008903	71016928	id3537	7	6833177	6919166	id5790	0.921359
12	6480053	6482186	id1310	12	32790748	32792731	id1413	0.936194
8	7147340	7617127	id6325	8	7667127	8242541	id6326	0.987509
7	60878234	60913096	id5952	7	61061900	61096301	id5956	0.965778
10	23136856	23139785	id639	10	105686224	105689724	id936	0.935282
4	3534479	3564395	id4769	9	41230193	42244769	id6608	0.975191
10	77779598	77781913	id867	9	34132413	34134733	id6580	0.904194
19	7878617	7880232	id3123	6	33364722	33366354	id5530	0.94052
2	111223194	111224259	id3648	2	111224265	111225336	id3649	0.970892
19	973174	975923	id3105	9	66591387	67920552	id6633	0.908523
7	36026371	36027649	id5855	7	56787891	57137555	id5933	0.921384
14	105973843	105999822	id2027	15	21298795	21778502	id2076	0.953795
12	8162772	8449277	id1330	3	125690307	125935167	id4582	0.942144
12	29313825	29318587	id1399	14	19611713	19837263	id1862	0.903006
3	101678763	101680176	id4542	6	42954925	42956337	id5544	0.975818
13	18172239	18179472	id1618	2	88801051	88812762	id3579	0.964127
2	152260265	152262431	id3719	8	78036816	78039057	id6425	0.906444
1	240768501	240771535	id546	12	43568542	43572178	id1441	0.909029
22	20731437	20738049	id4201	22	21458187	21562827	id4207	0.981001
17	21399777	21451298	id2685	17	22532764	22645637	id2700	0.948301
1	184963024	184964905	id436	5	67925131	67927011	id5184	0.958779
11	49871381	49893829	id1080	11	89700751	89922445	id1191	0.915328
15	72605531	72609425	id2243	15	75760219	75809632	id2264	0.908447
1	125166234	125171174	id306	1	143184587	143541167	id308	0.923037
5	53218274	53219764	id5155	6	85972338	85973822	id5615	0.901961
10	42812000	42860868	id776	16	33442411	33764989	id2467	0.957971
1	191145319	191147021	id442	16	51645749	51647131	id2522	0.922899
17	28311619	28313299	id2735	17	44486115	44487830	id2846	0.903636
13	35034492	35072696	id1718	15	20647412	20689298	id2070	0.934814
10	5775819	5778764	id603	3	46023097	46024919	id4460	0.905958
2	203314567	203315893	id3798	5	178344820	178346140	id5385	0.906513
1	44959610	44960970	id154	14	20308223	20309260	id1866	0.928854
3	124151896	124154181	id4580	7	108509126	108511039	id6177	0.936675
12	56937739	56941804	id1482	12	56981258	56986278	id1483	0.958014
13	35034492	35072696	id1718	14	18862644	19511713	id1861	0.934813
3	156809278	156810871	id4653	6	112615691	112618016	id5654	0.930838
15	68254541	68255733	id2236	3	40698233	40699389	id4446	0.904982
21	44654735	44656405	id4129	21	44684561	44686322	id4132	0.95141
15	44774691	44794504	id2181	3	34209305	34231481	id4439	0.929592
11	43854712	43856600	id1061	20	21486863	21488621	id3908	0.919141
1	222668012	222670252	id508	4	158277729	158280567	id4993	0.972766
2	137882386	137936034	id3699	21	6789085	6934219	id4034	0.92711
12	34096694	34105410	id1421	12	38468168	38476887	id1433	0.948058
2	138410662	138413314	id3703	7	135128443	135131132	id6215	0.903151
14	89734708	89738742	id1986	18	2943215	2946623	id2978	0.928744
17	46990937	47011471	id2857	17	68160708	68185789	id2947	0.909908
22	11118987	11160921	id4144	22	16381833	16568459	id4162	0.999518
13	24395722	24418824	id1675	13	40844908	40864074	id1734	0.916639
10	80131070	80147027	id881	22	15200000	15934152	id4157	0.918898
11	71609998	71764072	id1159	4	3881337	4240270	id4771	0.949223
15	44604200	44605948	id2180	7	14938626	14940356	id5802	0.953488
1	210857588	210861295	id494	11	9445095	9446749	id1006	0.944175
20	59338198	59339354	id4012	20	59358298	59359454	id4013	0.987024
3	184026061	184027812	id4701	7	22489733	22541005	id5810	0.925668
7	72524833	72536871	id6073	7	72846677	73174784	id6077	0.982756
