chr,coor_s,coor_e,ids,length,centro,telo,gaps,genes,intra_frac,cpgisl_in,cpgisl_bor,ctcf,repli_in,repli_bor,repli_bor_deriv,repli_deriv,repli_vari,recomb_in,recomb_bor,dnase_in,dnase_bor,DNA_l,LINE_l,LTR_l,SINE_l,Low_complexity_l,Retroposon_l,Satellite_l,Simple_repeat_l,rRNA_l,snRNA_l,scRNA_l,srpRNA_l,tRNA_l,RC_l,DNA_r,LINE_r,LTR_r,SINE_r,Low_complexity_r,Retroposon_r,Satellite_r,Simple_repeat_r,rRNA_r,snRNA_r,scRNA_r,srpRNA_r,tRNA_r,RC_r,L1_s_l,L2_s_l,MIR_s_l,Alu_s_l,Satellite_s_l,L1_s_r,L2_s_r,MIR_s_r,Alu_s_r,Satellite_s_r,used_coor_l_s,used_coor_l_e,used_coor_r_s,used_coor_r_e,CG_frac_l,CG_frac_r,CG_frac_in
1,957478,959403,id3143,1925,121067056,947478,0,1,0.0,1,1,0,56.333,56.5,57.0,1.0,0.577,1.288,1.288,6.33,36.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,957428,957478,959403,959453,0.54,0.8,0.5761038961038961
1,969992,972795,id939,2803,121053664,959992,0,1,0.5,1,0,0,59.0,59.0,59.0,3.199,1.117,1.288,1.288,62.574,38.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969942,969992,972795,972845,0.6,0.76,0.6507313592579379
1,1115373,1116942,id5380,1569,120909517,1105373,0,1,1.0,1,2,0,65.0,65.0,65.0,3.199,1.117,1.116,1.116,32.376,36.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115323,1115373,1116942,1116992,0.44,0.62,0.7469725940089229
1,1130367,1132271,id2144,1904,120894188,1120367,0,0,0.0,0,0,1,63.0,63.0,63.0,3.199,1.117,1.116,1.116,63.967,91.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130317,1130367,1132271,1132321,0.54,0.76,0.5751050420168067
1,1461288,1462397,id5981,1109,120564062,1451288,0,1,0.0,0,0,0,76.5,76.667,77.0,1.0,0.707,1.116,1.116,32.376,36.821,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1461238,1461288,1462397,1462447,0.6,0.72,0.6104598737601443
1,1690338,1694733,id4916,4395,120331726,1680338,0,1,1.0,1,0,0,74.4,74.5,76.0,3.0,1.517,1.116,1.116,20.133,36.821,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1690288,1690338,1694733,1694783,0.14,0.7,0.5863481228668942
1,1947417,1954110,id3158,6693,120072349,1937417,0,1,1.0,0,0,1,70.143,70.0,70.0,1.0,0.378,1.116,1.116,19.731,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1947367,1947417,1954110,1954160,0.38,0.5,0.46705513222770056
1,3304963,3306436,id2533,1473,118720023,3294963,0,1,0.25,0,0,0,4.0,4.0,4.0,3.199,1.117,1.288,1.288,7.26,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3304913,3304963,3306436,3306486,0.72,0.5,0.5458248472505092
1,3633796,3640734,id3392,6938,118385725,3623796,0,1,1.0,1,0,0,17.875,17.5,18.0,1.0,0.354,1.288,1.288,159.411,36.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3633746,3633796,3640734,3640784,0.58,0.7,0.5501585471317383
1,4316188,4358340,id6570,42152,117668119,4306188,0,0,1.0,0,0,0,1.419,1.5,2.0,1.0,0.499,2.507,2.507,6.885,36.821,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4316138,4316188,4358340,4358390,0.42,0.48,0.5149933573733156
1,4423070,4424431,id4753,1361,117602028,4413070,0,1,0.765,0,0,0,3.0,3.0,3.0,3.199,1.117,2.507,2.507,7.52,9.69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4423020,4423070,4424431,4424481,0.74,0.66,0.5062454077883909
