chr,coor_s,coor_e,ids
13,2200971,2398637,id1
8,131847458,131887748,id2
2,158596065,158784085,id3
11,40924630,41155934,id4
10,112833585,112837618,id5
6,123392358,123435834,id6
10,107087024,107092339,id7
12,88356591,88382413,id8
5,66714929,66719565,id9
3,48191493,48195909,id11
11,12911238,12943501,id12
18,7288097,7293698,id13
16,56149525,56179828,id14
7,112046427,112079000,id15
3,17104237,17115164,id16
7,144323146,144336866,id17
5,115383672,115414992,id18
17,69306049,69313439,id19
20,62977951,62989502,id20
12,84182935,84185198,id21
13,66317405,66320083,id22
14,65631129,65633787,id23
7,66600408,66602391,id24
7,106737531,106788276,id25
14,64409087,64440151,id26
5,8401653,8403678,id27
7,156293309,156295668,id28
5,130207744,130215697,id29
16,55173928,55175718,id30
4,80983448,81015205,id31
11,74183573,74186282,id32
7,33306628,33310513,id33
1,110323167,110332169,id34
22,5809510,5815533,id35
15,41465945,41467362,id36
16,46867322,46869291,id37
4,189521526,189523445,id38
6,55470336,55476675,id39
6,73767439,73787299,id40
17,45254106,45291174,id41
10,110909219,110911645,id42
15,59189870,59192280,id43
2,235511058,235610119,id44
1,33412027,33525243,id45
16,4922833,5194079,id46
22,6285327,6288032,id47
9,26391842,26410232,id48
13,77547884,77566197,id49
11,19498520,19499798,id50
7,112869171,112880098,id51
2,234826532,234846677,id52
1,49264717,49285535,id53
4,178421394,178424183,id54
1,103847142,103854034,id55
8,71361186,71485876,id56
14,88190267,88208219,id57
10,35020951,35092463,id58
8,93924257,93955929,id59
10,59236726,59239770,id60
2,74093421,74130279,id61
15,68395450,68432679,id62
10,58266899,58322923,id63
2,122277822,122326727,id64
12,95664379,95665727,id65
15,37735663,37738099,id66
4,169306574,169318438,id67
20,106044,119255,id68
4,125676388,125677711,id69
3,36261471,36278361,id70
4,65592825,65596220,id71
18,32105001,32110138,id72
8,123350181,123396974,id73
19,1304805,1311319,id75
9,11194342,11195867,id76
6,111328910,111331052,id77
6,107674728,107676040,id78
13,29818983,29821480,id79
12,100743054,100744335,id80
20,1617828,1620757,id81
3,93001603,93002629,id82
9,136826950,136829659,id83
20,28075813,28079308,id84
19,7476052,7555524,id85
1,71061079,71123985,id86
6,122965957,122968267,id87
5,30247029,30251459,id88
4,159684045,159685340,id89
13,44894395,44898771,id90
14,20469849,20474363,id91
16,72278859,72280957,id92
5,68118484,68119503,id93
18,63336449,63338369,id94
17,3862956,3864154,id95
17,37229396,37231005,id96
11,116724742,116731780,id97
