chr	coor_s	coor_e	ids	jumps
1	10000	207666	id1	3.0
1	257666	297956	id2	2.0
1	347968	535988	id3	2.0
1	585988	817292	id4	4.0
1	817367	821400	id5	1.0
1	823659	867135	id6	2.0
1	867192	872507	id7	1.0
1	872879	898701	id8	1.0
1	955921	960557	id9	1.0
1	1444514	1448930	id11	1.0
1	1464079	1496342	id12	1.0
1	1496432	1502033	id13	1.0
1	1504522	1534825	id14	1.0
1	1632457	1665030	id15	1.0
1	1666823	1677750	id16	1.0
1	1685863	1699583	id17	1.0
1	1699616	1730936	id18	1.0
1	1733195	1740585	id19	1.0
1	1740642	1752193	id20	1.0
1	2548425	2550688	id21	1.0
1	2551369	2554047	id22	1.0
1	2567635	2570293	id23	1.0
1	2576603	2578586	id24	1.0
1	2652036	2702781	id25	1.0
1	2746297	2777361	id26	1.0
1	4043198	4045223	id27	1.0
1	5654881	5657240	id28	2.0
1	5665835	5673788	id29	2.0
1	6185028	6186818	id30	2.0
1	6427660	6459417	id31	1.0
1	8500394	8503103	id32	1.0
1	8610392	8614277	id33	1.0
1	8616572	8625574	id34	1.0
1	8653707	8659730	id35	1.0
1	8893201	8894618	id36	3.0
1	9726946	9728915	id37	1.0
1	11022121	11024040	id38	2.0
1	11920064	11926403	id39	1.0
1	12780114	12799974	id40	2.0
1	12809207	12846275	id41	1.0
1	12847096	12849522	id42	1.0
1	12851192	12853602	id43	1.0
1	12855323	12954384	id44	3.0
1	13004384	13117600	id45	3.0
1	13122521	13393767	id46	3.0
1	13555212	13557917	id47	1.0
1	15454045	15472435	id48	1.0
1	15473454	15491767	id49	1.0
1	15667766	15669044	id50	1.0
1	15793742	15804669	id51	1.0
1	16020437	16040582	id52	1.0
1	16042272	16063090	id53	1.0
1	16395354	16398143	id54	1.0
1	16467214	16474106	id55	2.0
1	16474442	16599132	id56	4.0
1	16599169	16617121	id57	2.0
1	16617272	16688784	id58	3.0
1	16689054	16720726	id59	1.0
1	16720738	16723782	id60	1.0
1	16724992	16761850	id61	1.0
1	16761934	16799163	id62	1.0
1	16849163	16905187	id63	1.0
1	16905457	16954362	id64	2.0
1	16973745	16975093	id65	1.0
1	17406761	17409197	id66	3.0
1	19265951	19277815	id67	1.0
1	19278608	19291819	id68	1.0
1	21398055	21399378	id69	1.0
1	21411103	21427993	id70	2.0
1	21428825	21432220	id71	1.0
1	21432917	21438054	id72	2.0
1	21439789	21486582	id73	3.0
1	22086436	22092950	id75	1.0
1	23309798	23311323	id76	1.0
1	23901052	23903194	id77	1.0
1	23948200	23949512	id78	1.0
1	23960928	23963425	id79	1.0
1	23966444	23967725	id80	1.0
1	23969079	23972008	id81	2.0
1	24672244	24673270	id82	1.0
1	24832261	24834970	id83	4.0
1	24840788	24844283	id84	2.0
1	25258882	25338354	id85	2.0
1	25362422	25425328	id86	2.0
1	26218580	26220890	id87	1.0
